	Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	Cohort_Estimate	Cohort_Std.Rrror	Cohort_Z_value	Cohort_Pvalue	N	Ndf	Ncases	Ncontrols
His	0.013372029	0.006961229	1.920929229	0.05474063	0.199138067	0.137031195	1.453231629	0.146159453	-0.18822077	0.074418303	-2.52922684	0.011431412	0.015913976	0.016314849	0.975428958	0.329347525	0.499886269	0.087637241	5.704039358	1.17E-08	0.620744799	0.225509953	2.752627059	0.00591192	-0.081841867	0.117790152	-0.694810779	0.487173892	0.210890174	0.203917472	1.034193745	0.301045598	1214	1202	346	868
Gln	0.018542526	0.006965199	2.662167397	0.007763926	0.185262729	0.137396316	1.348382068	0.177535528	-0.175477473	0.06949973	-2.524865539	0.011574256	0.009121076	0.016641258	0.548100162	0.583623129	0.513729793	0.087753624	5.854228782	4.79E-09	0.553504346	0.227672252	2.43114539	0.015051174	-0.062853541	0.118223666	-0.531649398	0.594968845	0.187659036	0.205378447	0.913723121	0.360862352	1214	1202	345	869
DHA.FA	0.015948747	0.006919417	2.304926372	0.021170697	0.214763509	0.136991073	1.567719015	0.116946722	0.194588846	0.081302121	2.393404306	0.016692835	0.016014236	0.016352541	0.979311827	0.327425928	0.513994993	0.087865505	5.849792741	4.92E-09	0.608595595	0.225077666	2.703935967	0.006852349	-0.105679313	0.118723791	-0.89012752	0.373397417	0.269146653	0.202625552	1.32829572	0.184080433	1214	1202	346	868
FAw3.FA	0.016085737	0.00691547	2.32605122	0.020015818	0.208687877	0.137000674	1.523261689	0.127693248	0.169801934	0.074739556	2.271915208	0.023091632	0.016145226	0.016363949	0.986633873	0.323822158	0.51616797	0.087950404	5.868852724	4.39E-09	0.609397331	0.225125086	2.706927699	0.006790905	-0.099463812	0.118316234	-0.840660734	0.400538024	0.266831798	0.202619493	1.316910793	0.187868528	1215	1203	346	869
M.HDL.P	0.01369461	0.006939724	1.973365236	0.048453965	0.292881621	0.142258566	2.05879778	0.039513614	-0.150778478	0.072331085	-2.084559889	0.037109269	0.017039715	0.016392723	1.03946829	0.298586998	0.50275124	0.087491719	5.746272263	9.12E-09	0.604987391	0.225442032	2.683560756	0.007284274	-0.064568733	0.118137983	-0.546553541	0.584685495	0.28776688	0.202821449	1.418818776	0.155951857	1215	1203	346	869
M.HDL.L	0.01372228	0.006939812	1.977327264	0.04800465	0.291467246	0.142162777	2.050236009	0.040341406	-0.148611336	0.071580159	-2.076152648	0.037879835	0.016637243	0.01638904	1.01514449	0.310036957	0.50232763	0.087484142	5.74192785	9.36E-09	0.603518389	0.225498588	2.676373244	0.007442371	-0.064397228	0.118128447	-0.545145809	0.585653239	0.288914954	0.202850833	1.424272953	0.154367474	1215	1203	346	869
DHA	0.015773498	0.006921691	2.278850285	0.022675967	0.181108795	0.137747193	1.314791183	0.188580092	0.152892384	0.075371301	2.028522569	0.042506942	0.01412665	0.016390309	0.861890404	0.38874783	0.506513993	0.087614438	5.781170337	7.42E-09	0.621739243	0.225105834	2.761986363	0.005745088	-0.087781187	0.11786568	-0.744756123	0.456419164	0.304344696	0.203306743	1.496972958	0.134400295	1215	1203	346	869
M.HDL.PL	0.014029061	0.006919136	2.027574134	0.042603731	0.29899676	0.143522751	2.083270824	0.037226545	-0.14517176	0.071871362	-2.01988326	0.043395498	0.016830516	0.016389692	1.026896448	0.304469227	0.502746034	0.087472548	5.747472153	9.06E-09	0.604626634	0.225358014	2.68296043	0.007297362	-0.064069622	0.118086633	-0.542564556	0.587429648	0.275069902	0.202668568	1.357240072	0.174704942	1215	1203	346	869
M.HDL.C	0.013817507	0.006950444	1.988003384	0.046811316	0.27408155	0.140561153	1.949909658	0.051186888	-0.13874942	0.071476816	-1.941180753	0.052236357	0.015202046	0.016390196	0.92750848	0.353662591	0.5020962	0.087465024	5.740536917	9.44E-09	0.605881255	0.225504881	2.686776679	0.007214517	-0.064000438	0.118205267	-0.541434738	0.588207969	0.30367791	0.203351845	1.493361957	0.135342465	1215	1203	346	869
M.HDL.CE	0.013778619	0.006957059	1.980523459	0.04764474	0.269074518	0.140032741	1.921511468	0.054667258	-0.138406015	0.071757536	-1.928801118	0.053755557	0.015256868	0.016390438	0.930839521	0.351936583	0.502121755	0.087463751	5.740912661	9.42E-09	0.607420679	0.225472713	2.693987544	0.00706028	-0.065399593	0.11817546	-0.553410942	0.579982048	0.309679578	0.203638588	1.520731318	0.128327276	1215	1203	346	869
M.HDL.PL_.	0.013560716	0.006976277	1.943832949	0.051915599	0.21744429	0.137151982	1.585425798	0.112869624	0.141047605	0.074307661	1.898156971	0.057675407	0.015238406	0.016411211	0.928536316	0.353129439	0.498195906	0.087629444	5.685256968	1.31E-08	0.660408196	0.22658695	2.91459061	0.003561554	-0.084839625	0.118447867	-0.71626132	0.473830006	0.33801085	0.205813094	1.642319466	0.100523815	1207	1195	345	862
M.HDL.FC	0.01420136	0.006920194	2.052162073	0.040153914	0.287117548	0.142702972	2.011994179	0.044220551	-0.132462585	0.071393203	-1.855394892	0.063539856	0.015060823	0.016381557	0.919376772	0.357898534	0.502142809	0.087451212	5.741976566	9.36E-09	0.602735097	0.225512862	2.672730468	0.007523667	-0.060074025	0.118353809	-0.507579986	0.611747929	0.277617169	0.20267232	1.369783344	0.170754543	1215	1203	346	869
Glc	0.015497419	0.006950859	2.229568907	0.025776076	0.220375295	0.138356674	1.592805678	0.111203791	0.135945377	0.074035738	1.836212902	0.066326175	0.017156769	0.016498227	1.039915958	0.298378948	0.52149634	0.088093277	5.919819984	3.22E-09	0.291259263	0.257024564	1.133196214	0.257131864	-0.058959148	0.11829659	-0.498401083	0.618201374	0.319838751	0.204546807	1.563645776	0.117900778	1205	1193	339	866
Ace	0.015968359	0.006877177	2.321935325	0.020236418	0.232822521	0.13749736	1.693287211	0.090400811	-0.150592942	0.084883607	-1.774111012	0.07604479	0.015214256	0.016396351	0.927904975	0.353456864	0.501602139	0.087766041	5.71521892	1.10E-08	0.661581384	0.225943262	2.928086356	0.003410553	-0.111781979	0.119156605	-0.938109796	0.348187988	0.174273411	0.209999072	0.829877054	0.406608299	1211	1199	344	867
IDL.CE_.	0.014789068	0.006903438	2.142275815	0.032171294	0.218584876	0.136958641	1.595991866	0.110490609	-0.124271079	0.070213128	-1.769912313	0.076741749	0.015131478	0.016339748	0.926053287	0.354418289	0.499809614	0.08756622	5.707790233	1.14E-08	0.614986526	0.22608959	2.720101032	0.006526197	-0.111177564	0.119270721	-0.932144644	0.351261779	0.229494509	0.204112609	1.124352432	0.260863543	1213	1201	346	867
