	Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	N	Ndf	Ncases	Ncontrols
His	0.017129556	0.00620153	2.762149877	0.005742211	0.095733893	0.127769705	0.749269111	0.453695022	-0.232245675	0.066169727	-3.509847873	0.000448363	1242	1238	356	886
XS.VLDL.CE_.	0.019492053	0.006131106	3.179206361	0.001476789	0.14321505	0.127625715	1.122148853	0.261799155	-0.209226536	0.062615017	-3.34147536	0.000833344	1243	1239	356	887
L.HDL.L	0.02015238	0.006110705	3.297881104	0.000974174	0.256317516	0.133916455	1.914010619	0.055618799	-0.214917668	0.067775533	-3.171021446	0.001519039	1243	1239	356	887
LDL.D	0.019981497	0.006112263	3.269083111	0.001078966	0.1298275	0.127545167	1.017894308	0.308728187	-0.216176354	0.068577389	-3.152297803	0.00161991	1241	1237	356	885
Glc	0.019471347	0.006206418	3.13729225	0.001705161	0.141704939	0.128952623	1.098891481	0.271815403	0.191702478	0.063282453	3.029314928	0.00245109	1232	1228	349	883
Cit	0.026409928	0.006334942	4.168929844	3.06E-05	0.171066371	0.128177939	1.33460073	0.182007059	-0.207059402	0.068804761	-3.009376086	0.002617848	1243	1239	356	887
L.HDL.CE	0.020149194	0.006113261	3.295981422	0.000980785	0.23841367	0.132727907	1.796258792	0.072453368	-0.203676528	0.067908353	-2.999285346	0.002706137	1243	1239	356	887
L.HDL.C	0.020228145	0.006112237	3.309450393	0.000934793	0.237430383	0.132692497	1.789327876	0.073562027	-0.202125958	0.067666292	-2.987099662	0.002816379	1243	1239	356	887
L.HDL.PL	0.020129988	0.006106343	3.296570279	0.000978731	0.257541282	0.134785435	1.910750085	0.056036705	-0.203631814	0.068314193	-2.980812679	0.002874846	1243	1239	356	887
XS.VLDL.C_.	0.020009347	0.006113255	3.273108304	0.001063717	0.144260998	0.127529739	1.131194958	0.257973044	-0.184843938	0.06240804	-2.961860986	0.003057858	1243	1239	356	887
