	Estimate_random	SE_random	pval_random	Estimate_fixed	SE_fixed	pval_fixed	I2	HOLM_random
Gln	-0.195381402	0.06781624	0.003963634	-0.195381402	0.06781624	0.003963634	0	0.903708657
DHA.FA	0.172589658	0.065405697	0.008321092	0.172589658	0.065405697	0.008321092	0	1
M.HDL.PL	-0.179048367	0.069822325	0.010337143	-0.179048367	0.069822325	0.010337143	0	1
M.HDL.L	-0.177324453	0.069206668	0.010399787	-0.177324453	0.069206668	0.010399787	0	1
M.HDL.P	-0.178562536	0.069692693	0.010402895	-0.178562536	0.069692693	0.010402895	0	1
FAw3.FA	0.162218887	0.065004861	0.012578381	0.162218887	0.065004861	0.012578381	0	1
His	-0.251639151	0.104107684	0.015644525	-0.206211989	0.06740392	0.0022182	0.529649887	1
M.HDL.FC	-0.156363282	0.069818283	0.025118526	-0.156363282	0.069818283	0.025118526	0	1
M.HDL.C	-0.151740336	0.06847001	0.026680707	-0.151740336	0.06847001	0.026680707	0	1
M.HDL.CE	-0.147233686	0.068095868	0.030606384	-0.147233686	0.068095868	0.030606384	0	1
DHA	0.13222277	0.065580706	0.043780741	0.13222277	0.065580706	0.043780741	0	1
HDL2.C	-0.128511813	0.071795212	0.073457533	-0.128511813	0.071795212	0.073457533	0	1
S.HDL.PL	-0.119889017	0.066991289	0.073514863	-0.119889017	0.066991289	0.073514863	0	1
HDL.C	-0.127658917	0.07213384	0.076768672	-0.127658917	0.07213384	0.076768672	0	1
L.HDL.L	-0.121264554	0.07200735	0.092170462	-0.121264554	0.07200735	0.092170462	0	1
S.HDL.P	-0.114650424	0.068415741	0.093779306	-0.114650424	0.068415741	0.093779306	0	1
XXL.VLDL.C_.	0.116836467	0.070383635	0.096915505	0.116836467	0.070383635	0.096915505	0	1
S.HDL.L	-0.112736985	0.068128222	0.097969831	-0.112736985	0.068128222	0.097969831	0	1
L.HDL.PL	-0.118354501	0.072086406	0.100622718	-0.118354501	0.072086406	0.100622718	0	1
ApoA1	-0.11434409	0.07079959	0.106302276	-0.11434409	0.07079959	0.106302276	0	1
Glc	0.142324875	0.091609782	0.120280074	0.110611922	0.073311424	0.131351134	0.290495996	1
S.HDL.FC	-0.102630223	0.066703903	0.123903452	-0.102630223	0.066703903	0.123903452	0	1
M.HDL.FC_.	-0.106471087	0.069515533	0.125617279	-0.106471087	0.069515533	0.125617279	0	1
M.HDL.TG	-0.105729924	0.069184415	0.12645463	-0.105729924	0.069184415	0.12645463	0	1
FAw3	0.10010353	0.066125517	0.130066127	0.10010353	0.066125517	0.130066127	0	1
L.HDL.CE	-0.101858813	0.071583384	0.154753741	-0.101858813	0.071583384	0.154753741	0	1
L.HDL.C	-0.100671058	0.071642009	0.15996303	-0.100671058	0.071642009	0.15996303	0	1
L.HDL.TG	-0.099902468	0.071668831	0.163333961	-0.099902468	0.071668831	0.163333961	0	1
L.HDL.FC_.	-0.09455428	0.068508131	0.167527965	-0.09455428	0.068508131	0.167527965	0	1
Crea	-0.100319505	0.073123395	0.170088099	-0.100319505	0.073123395	0.170088099	0	1
L.HDL.P	-0.098478843	0.072069784	0.171801741	-0.098478843	0.072069784	0.171801741	0	1
Tyr	-0.087393928	0.067470325	0.195218721	-0.087393928	0.067470325	0.195218721	0	1
M.HDL.PL_.	0.084641138	0.070983959	0.233105182	0.090829883	0.067224573	0.176650243	0.072627298	1
LDL.D	-0.097288566	0.081690743	0.233678133	-0.08189891	0.067543157	0.225305002	0.251829104	1
UnSat	0.079059731	0.066836187	0.236853499	0.079059731	0.066836187	0.236853499	0	1
Ace	-0.122024098	0.104243451	0.241772271	-0.064292505	0.069152826	0.352518023	0.467249071	1
Glol	-0.149051292	0.133872209	0.26554317	-0.063946312	0.078820802	0.417200731	0.56924601	1
Cit	-0.10969507	0.098952723	0.267619873	-0.105737625	0.069769268	0.129637494	0.456323504	1
S.HDL.PL_.	-0.072408619	0.065581737	0.269550925	-0.072408619	0.065581737	0.269550925	0	1
