Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	N	Ndf	Ncases	Ncontrols
His	0.0130209669406737	0.0188696450704222	0.690048323223834	0.490163799152565	0.310784449883082	0.38237636228707	0.812771082459746	0.416349318029542	-0.557835596536	0.19254384307427	-2.8971874022522	0.00376524764427153	-0.033848198711949	0.0388038042328423	-0.872290729765637	0.383049793606186	0.200111068810378	0.23440849605982	0.853685221201668	0.393279424913454	0.917925237476135	0.419386023078716	2.18873588284521	0.0286160423172929	-0.0851097353261515	0.268563223423295	-0.316907632554016	0.751313690379406	182	174	48	134
M.VLDL.PL_.	0.0318155598520952	0.0185877656145662	1.711639823302	0.0869630646516163	0.122603736546401	0.379629825932331	0.322956017076107	0.746728551899503	0.456395065891706	0.190899800690397	2.39075716287357	0.0168136695860638	-0.0122501332712166	0.0391900104145003	-0.312583057305951	0.754597451853602	0.381921937375019	0.232403318533579	1.64335836417859	0.100308809252938	1.00869171318317	0.416326812495344	2.42283629809322	0.0153998645146151	-0.125778424500805	0.264121797248019	-0.476213723408426	0.633922123554361	181	173	48	133
S.VLDL.TG_.	0.0298932426943148	0.0184262239654116	1.622320598644	0.104734720406401	0.0926106055440565	0.381826362730816	0.242546389101336	0.808356816367921	-0.451934428861748	0.196581395816491	-2.29896846028923	0.0215067303432255	-0.0188621940873113	0.0388494173243952	-0.485520643200661	0.627307073026178	0.385152338200811	0.232151512709815	1.6590559057965	0.0971045274234236	1.05554323168936	0.416241794888823	2.53588958305181	0.0112162092974142	-0.122215449134217	0.265210025422058	-0.460825147690861	0.644924057968127	182	174	48	134
XS.VLDL.FC_.	0.0294804689837937	0.018644378665958	1.58119878983261	0.113832591992554	0.237491389046639	0.380117128121865	0.624784761002664	0.532112333674272	0.516801918529075	0.228901778778279	2.25774531455111	0.0239615423407872	-0.0195124675329316	0.0383748700754411	-0.508469930831611	0.611123821329007	0.348415900213589	0.22881107004804	1.52272309263899	0.127827998019654	1.06896861624828	0.410935635462345	2.60130425302633	0.00928700480687215	-0.0988089074021162	0.261152883720096	-0.378356562618009	0.705165731930097	182	174	48	134
Cit	0.0384374289928279	0.0189578833042204	2.0275169108289	0.0426095767881405	0.456062045811494	0.394043374475757	1.15739046854486	0.247112866451062	-0.448035785263918	0.20105609798356	-2.22841182017047	0.02585306559174	-0.0474034390521935	0.0387655673347678	-1.22282330199973	0.221396442287922	0.218180658104457	0.231716997127265	0.941582451047502	0.346406457887734	1.01991860882425	0.415729371217666	2.45332343451443	0.0141543007755612	-0.0969190121300232	0.264862370951401	-0.36592216471477	0.714423156639531	181	173	48	133
S.VLDL.C_.	0.0290803096879349	0.018423144436845	1.57846614011104	0.114458560971537	0.114741368904642	0.380075711341191	0.301890821962153	0.762735292550852	0.465935716993795	0.209238763102018	2.22681356975246	0.0259597361010099	-0.0233268762179332	0.0386645841181573	-0.603313775382849	0.546299970614678	0.35836311345882	0.230213514863053	1.55665541040021	0.119552320536619	1.09978240228597	0.417514296191813	2.63411914829549	0.00843558804361659	-0.12742314519077	0.264787121452628	-0.481228635636519	0.630354010945003	182	174	48	134
Glc	0.0192699054995218	0.0184265242159792	1.04576996039282	0.295667253456144	0.360221159445351	0.383343524418018	0.939682390597908	0.347380500385308	0.447632073919947	0.206156082627248	2.17132605652637	0.0299065340078159	-0.0361004496328712	0.0386634416685943	-0.933710194304688	0.350453404994483	0.262466078419729	0.228448065246354	1.14890917608206	0.250593433517319	0.602048860658733	0.44765828766388	1.34488487591852	0.178662415055769	-0.0626797139829074	0.261305481079677	-0.239871409217762	0.810429945989917	182	174	48	134
S.VLDL.CE_.	0.0287925650249402	0.0183954516337561	1.56520022439162	0.117535968935842	0.140050156485657	0.37812880100332	0.370376856018505	0.711101715828491	0.444962325074414	0.208993394568747	2.12907362930098	0.033248169155116	-0.025293359473278	0.0385183534978284	-0.656657338032479	0.511401271739522	0.353965654848474	0.229885285454008	1.53974907158332	0.1236215303173	1.09956722579944	0.417383473699064	2.63442923615187	0.00842788693668202	-0.120132382715406	0.264372021446933	-0.454406567146971	0.649536226519174	182	174	48	134
DHA.FA	0.0277220161142676	0.0184613516752934	1.5016243990069	0.133194138430474	0.343128951352965	0.38478461424489	0.891742909280116	0.372530748512972	0.365911857748805	0.174497103186591	2.09695090099882	0.0359979219439077	-0.0503584082860129	0.0392310425709457	-1.28363675767587	0.199269082092503	0.318350774097411	0.229366336184397	1.3879577072787	0.165149923893414	0.985303878530313	0.413001429631577	2.38571541848963	0.0170459359301895	-0.0559863521928721	0.263193888048148	-0.212719043774413	0.831546111916717	181	173	48	133
XS.VLDL.C_.	0.0285014834267268	0.0182735685984394	1.55971086179418	0.118828224177316	0.194096402384066	0.375765026552923	0.516536635047193	0.605479658745629	0.486744110227423	0.237075999917435	2.05311423508469	0.0400614996822448	-0.0165592149018844	0.0388899500100238	-0.425796764912691	0.670255944466824	0.421500917482684	0.236298028040697	1.78376823953051	0.0744613324372156	1.02629031501036	0.412163451612351	2.49000805625921	0.0127740199725797	-0.0621152575461164	0.261336889462353	-0.237682700187891	0.812127202456358	182	174	48	134
