Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	N	Ndf	Ncases	Ncontrols
Ace	0.00778923434031089	0.0195324068672755	0.398785177538	0.690051499667745	0.195285995333226	0.356769348924426	0.547373242465941	0.584122334284018	-0.423870239259362	0.187575332029954	-2.25973338110191	0.0238378032224349	-0.0135206182913533	0.0382606705751725	-0.353381634145399	0.723802352614008	0.399188965563577	0.204218306842839	1.95471685048679	0.0506165000798548	-0.200831854789172	0.581529029788623	-0.345351383166841	0.729830221877573	-0.264222650863191	0.379455547774887	-0.696320431767524	0.486228180473417	264	256	52	212
XL_HDL_FC_prc	0.00276040115497438	0.0193402884543826	0.142728024015012	0.886504983339037	0.222765242219587	0.355023291577001	0.627466556433723	0.530353451811189	-0.351909015032702	0.167190696641754	-2.10483610692017	0.0353055769701292	-0.0229288493112316	0.0399984344957905	-0.57324366816518	0.566479721007161	0.463209808230882	0.202824026204896	2.28380146523144	0.0223832015302254	-0.209033578795288	0.58634871128478	-0.356500448917613	0.721465815960038	-0.436414070782965	0.409960160400218	-1.0645280028111	0.287089575764053	263	255	53	210
HDL3_C	0.00542032918271012	0.0193038624252052	0.280789878383755	0.778871567324176	0.258305489207234	0.355902958230598	0.725775055344922	0.467976681296398	-0.349582180735509	0.171871802801849	-2.0339705235916	0.0419545674991102	-0.0224447148837213	0.0392739535122708	-0.571491099736335	0.567666791778389	0.425202818730429	0.202770644916117	2.09696437522467	0.0359967290626042	-0.419184566457363	0.598363569932179	-0.700551616979081	0.483582881821313	-0.273647455758241	0.368691328140754	-0.742212888863422	0.457958360678071	265	257	53	212
S_VLDL_FC_prc	0.00810003628575133	0.0194178833924905	0.417143110916191	0.676573733346885	0.366049574046886	0.364287866929602	1.00483603017617	0.314975811404621	-0.317968451329292	0.163209838701074	-1.94821864821314	0.0513888063885252	-0.0186613131763293	0.0385444701835316	-0.484150205917282	0.628279272541315	0.444315727706027	0.202970591336657	2.18906455748096	0.0285921481378852	-0.317234931907446	0.583690613211794	-0.543498430036146	0.586786671530164	-0.192324726043935	0.364414310354966	-0.527763923037483	0.597663199947156	264	256	53	211
PC	0.00325397673328188	0.0192381795483315	0.169141613690995	0.865685253461457	0.336691342092983	0.365700996029904	0.92067384488461	0.357220735507947	-0.333836654172512	0.176578473269735	-1.8905852338102	0.0586797329101464	-0.0032315768988888	0.0389454080236661	-0.0829770969898442	0.9338697507543	0.46125426130028	0.203933011196038	2.26179302014465	0.0237101943025122	-0.30817267080312	0.582634372110904	-0.528929780930364	0.596854161943319	-0.306102987369977	0.379912204917857	-0.805720330664716	0.42040412415184	265	257	53	212
M_VLDL_PL_prc	0.00456701049075389	0.0192567902163147	0.237163641471497	0.812529841612323	0.273998508604736	0.356115542417709	0.769409014682507	0.441650538731999	-0.335689622568919	0.179618263369475	-1.86890584660873	0.0616359147623386	-0.0335490819308547	0.0399184034216518	-0.840441476991979	0.400660901735829	0.427326995422315	0.202974384184653	2.10532475385446	0.0352630487828911	-0.30682841513122	0.583391604027038	-0.52593903136974	0.598930568737587	-0.212699275906209	0.368832323830008	-0.576682850617617	0.564153719442953	265	257	53	212
EstC	0.00518940242598482	0.0192223903068517	0.26996655166944	0.787185986367811	0.269196360408269	0.359045206004233	0.749756175285334	0.453401567677117	-0.307067729456485	0.167132685976434	-1.83726915930605	0.0661701704017422	-0.00746704934760043	0.0384237458352536	-0.194334237469098	0.845914178991994	0.436652007000381	0.203152264726752	2.14938291526159	0.0316040586274047	-0.27688831592567	0.580946943882913	-0.476615496201793	0.633635946714724	-0.269845170812239	0.377751942549988	-0.714344892552155	0.475013938998924	265	257	53	212
ApoA1	0.00270622209071707	0.0192935954425338	0.140265307147006	0.888450374182997	0.433969038330106	0.380523008472756	1.14045413461819	0.25409715054183	-0.325655531052528	0.178259988667858	-1.82685712865888	0.0677212536247666	-0.0236474216054257	0.0394980713624652	-0.598698133597929	0.54937420203352	0.450677764580996	0.203679673557846	2.21267913831863	0.026919774656481	-0.345335065001381	0.585578951587907	-0.589732715059072	0.555369858515333	-0.133854605311839	0.363798185370063	-0.367936429302635	0.712920636026421	265	257	53	212
PUFA	0.00510611713008506	0.0192435578464103	0.265341636449912	0.790746292391251	0.28284495319122	0.3615981635831	0.782207935982005	0.434092381344556	-0.297949688289704	0.168560132748584	-1.76761659730128	0.0771250214225025	0.000253003758871833	0.0389867316055382	0.00648948368977648	0.994822177498988	0.434558070644945	0.202574903698132	2.14517229287446	0.0319390740309294	-0.255158122677665	0.580808407028798	-0.439315477513419	0.660432960892134	-0.197912829535513	0.374923016800741	-0.527875912298809	0.597585464240268	263	255	53	210
Serum_C	0.00588094128244	0.0192544359007739	0.305433060347596	0.76003634547487	0.278433464371743	0.359691427898546	0.774089796908583	0.438877690751584	-0.292734463961458	0.166704302581747	-1.75601024945297	0.0790866584913621	-0.00742447767462792	0.038406162007218	-0.19331475176386	0.846712473994842	0.439285301294525	0.203017580188471	2.16377961399557	0.03048126742974	-0.274730046351598	0.580487762043016	-0.473274484520897	0.636017363443634	-0.267088289724269	0.378831607098781	-0.705031694080967	0.480790512582262	265	257	53	212
