Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	N	Ndf	Ncases	Ncontrols
Gly	0.021654065066992	0.00942218893894591	2.29819898617046	0.0215504663845116	0.122929965995801	0.206400117382322	0.595590581802305	0.551448769970171	-0.229475526265084	0.109026438728911	-2.10476953058756	0.035311374664657	0.0338392433654629	0.0256299829525358	1.32029909766736	0.186735176739275	0.55896522658375	0.127201231469467	4.39433816895021	1.11110738739239e-05	0.635967602003722	0.424149711294218	1.49939416453492	0.133771406561876	-0.0428128280507324	0.243098930595765	-0.176112778224942	0.860205342256885	561	553	151	410
M.HDL.PL_.	0.0154520213103049	0.009749723635661	1.58486762166129	0.112996414406274	-0.0117720636843302	0.198619685865781	-0.0592693701685003	0.95273755727619	0.205078487700586	0.101170895927072	2.02705022844134	0.042657276161168	0.0354763518425464	0.0255355793167323	1.3892910516152	0.164744263846373	0.530173070972882	0.12687273684017	4.17877854752023	2.93078888246642e-05	0.671126881395851	0.423099106464508	1.58621673064712	0.112690153795397	-0.0389375857649802	0.244412284822782	-0.159311082882814	0.873423789396924	560	552	151	409
M.HDL.L	0.0168791341811641	0.00956048796750692	1.76550969349378	0.077478142546398	0.0803647135093855	0.203798359700246	0.394334447183917	0.693334134218268	-0.18318136677212	0.105609386938815	-1.73451784999232	0.0828262413922828	0.0420973198241288	0.0254459684473203	1.65438072876971	0.0980501795330335	0.549579875962301	0.126658822132721	4.3390572145572	1.43095268217844e-05	0.690945524815219	0.42103360179848	1.64106979078104	0.100782928758544	-0.0301602730923495	0.244515659863368	-0.123346999980298	0.901832324360485	561	553	151	410
M.HDL.C	0.0169413069766036	0.00958578862579398	1.7673357548295	0.0771720152635397	0.0622081477007446	0.201818374540957	0.308238275341575	0.757901029849734	-0.175530920360099	0.104077465732805	-1.68654106942548	0.091691631658338	0.0389459911915514	0.0254597083676885	1.52971081322277	0.12608832588952	0.548244270828072	0.126654645124985	4.32865506264736	1.50022687693415e-05	0.694545293299189	0.421311059141011	1.64853325881182	0.0992432916156774	-0.0298471459599279	0.244354113406125	-0.122147098503396	0.902782521899748	561	553	151	410
M.HDL.P	0.0169869124535599	0.00956044876565214	1.77679028149691	0.0756027514707729	0.079670638375724	0.204059482234007	0.390428504000422	0.696219713829081	-0.178243169302204	0.106847524730275	-1.66820120308973	0.0952757921620653	0.0427296372643433	0.0254467828187548	1.67917640389695	0.0931176692154364	0.549488864889791	0.126609375162927	4.34003298873153	1.42461327742199e-05	0.688817301999928	0.420910383131762	1.63649396547269	0.101736247637012	-0.0310988633213828	0.24454675224084	-0.12716939822924	0.898806325377149	561	553	151	410
M.HDL.CE	0.0169625688483867	0.00959824726974315	1.76725691385951	0.0771852120489006	0.0544567633667906	0.201063044053748	0.270844220145366	0.786510847760801	-0.171455265814905	0.103296692925157	-1.65983305911963	0.0969480411409402	0.0390821131165567	0.0254527346282566	1.53547796287356	0.124666466134596	0.54760651014481	0.126638707955424	4.32416374887183	1.53111541226581e-05	0.694439486779322	0.421335281226658	1.64818736460322	0.099314228871826	-0.0309020014703412	0.244297253369917	-0.126493446177019	0.899341336570407	561	553	151	410
M.HDL.FC	0.0174845168850352	0.00950741646128308	1.83903975977461	0.0659093382600006	0.0819317286685172	0.205033385436838	0.39960189163319	0.689449762967941	-0.170956352429895	0.106623677219221	-1.60336200071589	0.108854755345019	0.0387519355935987	0.0254575098228119	1.5222201960568	0.127953916315918	0.550649183319743	0.126587342662466	4.34995451944987	1.36165770385326e-05	0.693579389322482	0.421085934932303	1.64712076985898	0.0995332247999447	-0.0292955948121152	0.244377614056762	-0.119878389537393	0.90457948365709	561	553	151	410
M.HDL.C_.	0.0177390783895884	0.00955031389211759	1.8574340686571	0.0632494232314196	0.00632646467423933	0.198419240298109	0.0318843306966316	0.974564294579681	-0.159647183933305	0.100160250007606	-1.5939175862798	0.110954494942968	0.0316106389378226	0.0260744627047672	1.21232177612785	0.225389231303752	0.541643167450766	0.126411395951626	4.28476533601479	1.82932169614686e-05	0.699914954997713	0.42230643199305	1.65736276308771	0.0974461550832247	-0.0461477359739399	0.243312724273667	-0.189664293602808	0.849572202457265	560	552	151	409
IDL.PL_.	0.0190464471627841	0.00947963609040985	2.00919602621166	0.0445163489839715	-0.0585094439794153	0.200911131189332	-0.291220519406054	0.770882670149004	-0.162078650470981	0.103513952025188	-1.56576623054196	0.117403354658601	0.0284094673039074	0.026288389450493	1.08068496768921	0.279837272090404	0.522076008480474	0.126858214983193	4.11542924949435	3.86459529527671e-05	0.681761067704658	0.422826225776271	1.61239068473817	0.106876950653691	-0.0554811312642095	0.242811951528709	-0.228494235621057	0.819262036916906	559	551	150	409
M.HDL.PL	0.0176410569692821	0.0094992915830471	1.85709184890852	0.0632980876861228	0.081230478306358	0.20531399460911	0.395640240992874	0.692370446301934	-0.165427538811498	0.106544151686279	-1.5526665348897	0.120502821200178	0.0426481395027842	0.0254494160087655	1.67580032045116	0.0937773113575038	0.5514139725897	0.126537257049079	4.35772029083758	1.31424193026606e-05	0.69283040686068	0.420816292069367	1.64639634899514	0.0996821842818423	-0.0349770883386387	0.244218562426597	-0.143220433332751	0.886116092711995	561	553	151	410
DHA	0.0201204772013507	0.00950079575802528	2.11776757587438	0.0341947566161194	-0.0635593557988101	0.20036619488988	-0.317215964667802	0.75107973695717	0.148974469788491	0.0966118102285015	1.54199025394663	0.123075961952461	0.035353606252295	0.0257470155793852	1.37311472637635	0.169716683642496	0.53881021747878	0.127262720392664	4.2338417394843	2.29732644117784e-05	0.703356708167057	0.423520787188467	1.66073715728636	0.0967662472945495	-0.06108195365276	0.24321300973726	-0.251145914105278	0.801701298853047	557	549	149	408
