Age_Estimate	Age_Std.Rrror	Age_Z_value	Age_Pvalue	Gender_Estimate	Gender_Std.Rrror	Gender_Z_value	Gender_Pvalue	Metabolite_Estimate	Metabolite_Std.Rrror	Metabolite_Z_value	Metabolite_Pvalue	BMI_Estimate	BMI_Std.Rrror	BMI_Z_value	BMI_Pvalue	Smoking_Estimate	Smoking_Std.Rrror	Smoking_Z_value	Smoking_Pvalue	DM_status_Estimate	DM_status_Std.Rrror	DM_status_Z_value	DM_status_Pvalue	Fasting_status_Estimate	Fasting_status_Std.Rrror	Fasting_status_Z_value	Fasting_status_Pvalue	N	Ndf	Ncases	Ncontrols
L.VLDL.PL_.	0.0505355324230452	0.0226119268049424	2.23490606788978	0.0254235161203386	0.706259365082887	0.382429754292702	1.84676886972119	0.0647806454378215	-0.483243915334357	0.215076729677321	-2.24684425906683	0.0246499820918903	0.0218893124185935	0.0443708187835827	0.493326763370267	0.621781720787151	0.733522869919402	0.281937398640016	2.60172248682758	0.00927568772344574	2.11326650020977	0.893788370261085	2.3643924787167	0.0180596687824664	-0.321467144573024	0.204072089324726	-1.57526267132736	0.11519582649439	151	143	78	73
Glol	0.0532472597321039	0.0260248151226866	2.0460187509915	0.0407545258609546	0.566604936960965	0.500612884152798	1.13182252174721	0.2577090571476	-0.520052195717695	0.260764771386676	-1.9943345604247	0.0461155047586663	0.0474568810949384	0.0557326541187405	0.851509439938564	0.394486421713457	0.506862765511601	0.356570883150516	1.42149230198822	0.155173689923859	2.58985884764855	1.14563429159088	2.26063314153433	0.023781983729716	0.24933699001404	0.383299247985612	0.650502163321228	0.515367904812149	102	94	50	52
AcAce	0.0383787088811912	0.0211114318561298	1.81791122187895	0.0690777028620659	0.635420762933778	0.368211861033636	1.72569335803045	0.0844025935981612	0.339867090285694	0.187762540757018	1.8100899621161	0.0702818373581775	0.00433293182695446	0.0430817686615315	0.10057460409752	0.919888157456368	0.665518908131419	0.27699313998408	2.4026548389237	0.0162765422605988	1.96238735330235	0.865854997644208	2.26641569158988	0.0234259437416004	-0.260178433121046	0.20109196000954	-1.29382812275887	0.195724796347858	154	146	80	74
M.VLDL.PL_.	0.0384863866661684	0.0212183352060188	1.81382687625989	0.0697043833648466	0.723093212680617	0.383204565312187	1.88696398251814	0.059165170240091	-0.342213144804906	0.19330510162488	-1.77032650420676	0.0766727652890598	0.00727514150135614	0.0431143857176671	0.168740465166247	0.866000788536309	0.748226165857335	0.28357771187445	2.63852247382757	0.00832681809570923	1.98479834747608	0.866675729687132	2.29012799076834	0.0220138981981012	-0.195737931997875	0.204157891030463	-0.958757611620645	0.337680867814683	154	146	80	74
Ala	0.0351081640364009	0.0209276872729993	1.67759406849018	0.093426371544623	0.531642282235315	0.364162316581942	1.45990471289109	0.144316263802951	0.289740361078517	0.177883609653621	1.62881988758103	0.103351153323172	-0.00268144531380313	0.043004186991803	-0.0623531219021589	0.950281625577739	0.648144370134972	0.274020628941064	2.36531232206745	0.0180148714427616	2.01916029086976	0.850048189813014	2.37534802740291	0.0175324104825092	-0.204857493641474	0.202478826031692	-1.01174773509112	0.311658685359112	155	147	81	74
XS.VLDL.CE_.	0.037214943965916	0.0209698769539929	1.77468585283377	0.0759497725389937	0.596664068554844	0.36601404306336	1.63016714758006	0.10306617520778	-0.30474604631307	0.195964467922885	-1.55510868650429	0.119920186511143	-0.00526089961666152	0.0429850797576425	-0.122388969529041	0.902590973878459	0.639107799601401	0.274593523806667	2.32746858243962	0.0199403392595421	1.94059960604094	0.863256143601723	2.24799976278682	0.0245762050443566	-0.256712147768268	0.199391241359164	-1.28747956037774	0.197927189326209	155	147	81	74
S.VLDL.C_.	0.0378725605257088	0.0209688047046476	1.806138263919	0.0708967452516403	0.65942864619357	0.369707396521761	1.78365013088062	0.0744805342440885	-0.30752221047018	0.197895897173211	-1.55395950528988	0.120194076240548	-0.00576839871800499	0.0428514597539945	-0.134613820652102	0.892917213773475	0.673950081694586	0.276055055356768	2.44136112929932	0.0146320146796695	1.94507014371842	0.870979353658029	2.2331989105704	0.0255358301461145	-0.204325258863681	0.20225799654583	-1.01022091760601	0.312389459740545	155	147	81	74
S.VLDL.CE_.	0.0384005191931035	0.0210088123785909	1.82782912718263	0.0675752003323666	0.624084838312711	0.36618017967208	1.70431080915299	0.0883230366488305	-0.30341113285859	0.196514194444826	-1.54396548155597	0.122596695151752	-0.00628275885723495	0.0429158798595765	-0.146397065090883	0.883607944068684	0.668323361086687	0.27564203464904	2.42460610892539	0.0153250041185867	1.95455899770389	0.870041029141534	2.24651359216064	0.0246711299179066	-0.217653896355617	0.200830976029726	-1.08376656160552	0.278468314755469	155	147	81	74
Cit	0.0260673274897728	0.0214151860566233	1.21723562993331	0.223514577507633	0.576626074483314	0.364686846664391	1.58115402230003	0.113842825141951	0.272124183071627	0.182341907339142	1.49238420855989	0.135598452412083	-0.00397339899674821	0.0431696209690541	-0.09204155393434	0.926665024429871	0.686621432218095	0.277520899355683	2.4741251336826	0.013356290613631	2.02986046351632	0.849678463132554	2.38897483176487	0.0168954597447189	-0.286032188824286	0.199802446230936	-1.43157500931537	0.152265485929112	155	147	81	74
M.VLDL.TG_.	0.0379771406736299	0.0210284540123068	1.8059882410473	0.070920176351036	0.679899345174608	0.374006404280351	1.81788155869374	0.0690822374840556	0.285588974836779	0.196053204844192	1.45669118270085	0.145201644783999	-0.00715677380163312	0.0431246617363456	-0.165955476831053	0.868191988552737	0.659943674193341	0.275046252979779	2.39939161884114	0.0164223405709838	1.95950343402682	0.869493448350652	2.25361494988123	0.0242204020116946	-0.226877569935426	0.199758214072023	-1.13576090469865	0.256056643182317	155	147	81	74
